Date,Market_Type,Country,ISIN,Clean_Price,Yield_to_Maturity,Coupon_Rate,Maturity_Date,Currency
2020-01,Africa,South Africa,ZAG000096173,99.1,8.95,0.0875,28/02/2048,ZAR
2020-02,Africa,South Africa,ZAG000096173,98.95,9.02,0.0875,28/02/2048,ZAR
2020-03,Africa,South Africa,ZAG000096173,97.4,9.85,0.0875,28/02/2048,ZAR
2020-04,Africa,South Africa,ZAG000096173,98.2,9.4,0.0875,28/02/2048,ZAR
2020-05,Africa,South Africa,ZAG000096173,98.85,9.05,0.0875,28/02/2048,ZAR
2020-06,Africa,South Africa,ZAG000096173,99.3,8.85,0.0875,28/02/2048,ZAR
2020-07,Africa,South Africa,ZAG000096173,99.75,8.65,0.0875,28/02/2048,ZAR
2020-08,Africa,South Africa,ZAG000096173,100.1,8.5,0.0875,28/02/2048,ZAR
2020-09,Africa,South Africa,ZAG000096173,100.45,8.35,0.0875,28/02/2048,ZAR
2020-10,Africa,South Africa,ZAG000096173,100.2,8.42,0.0875,28/02/2048,ZAR
2020-11,Africa,South Africa,ZAG000096173,100.65,8.25,0.0875,28/02/2048,ZAR
2020-12,Africa,South Africa,ZAG000096173,101.1,8.1,0.0875,28/02/2048,ZAR
2021-01,Africa,South Africa,ZAG000096173,101.3,8.05,0.0875,28/02/2048,ZAR
2021-02,Africa,South Africa,ZAG000096173,101.05,8.12,0.0875,28/02/2048,ZAR
2021-03,Africa,South Africa,ZAG000096173,100.8,8.2,0.0875,28/02/2048,ZAR
2021-04,Africa,South Africa,ZAG000096173,100.95,8.15,0.0875,28/02/2048,ZAR
2021-05,Africa,South Africa,ZAG000096173,101.4,8,0.0875,28/02/2048,ZAR
2021-06,Africa,South Africa,ZAG000096173,101.85,7.9,0.0875,28/02/2048,ZAR
2021-07,Africa,South Africa,ZAG000096173,102.1,7.85,0.0875,28/02/2048,ZAR
2021-08,Africa,South Africa,ZAG000096173,101.95,7.9,0.0875,28/02/2048,ZAR
2021-09,Africa,South Africa,ZAG000096173,102.3,7.8,0.0875,28/02/2048,ZAR
2021-10,Africa,South Africa,ZAG000096173,102.55,7.75,0.0875,28/02/2048,ZAR
2021-11,Africa,South Africa,ZAG000096173,102.2,7.82,0.0875,28/02/2048,ZAR
2021-12,Africa,South Africa,ZAG000096173,102.75,7.7,0.0875,28/02/2048,ZAR
2022-01,Africa,South Africa,ZAG000096173,102.6,7.75,0.0875,28/02/2048,ZAR
2022-02,Africa,South Africa,ZAG000096173,102.1,7.9,0.0875,28/02/2048,ZAR
2022-03,Africa,South Africa,ZAG000096173,101.5,8.1,0.0875,28/02/2048,ZAR
2022-04,Africa,South Africa,ZAG000096173,101.9,8,0.0875,28/02/2048,ZAR
2022-05,Africa,South Africa,ZAG000096173,102.3,7.9,0.0875,28/02/2048,ZAR
2022-06,Africa,South Africa,ZAG000096173,102.75,7.8,0.0875,28/02/2048,ZAR
2022-07,Africa,South Africa,ZAG000096173,103.1,7.7,0.0875,28/02/2048,ZAR
2022-08,Africa,South Africa,ZAG000096173,102.85,7.75,0.0875,28/02/2048,ZAR
2022-09,Africa,South Africa,ZAG000096173,102.4,7.9,0.0875,28/02/2048,ZAR
2022-10,Africa,South Africa,ZAG000096173,102.7,7.85,0.0875,28/02/2048,ZAR
2022-11,Africa,South Africa,ZAG000096173,103.05,7.75,0.0875,28/02/2048,ZAR
2022-12,Africa,South Africa,ZAG000096173,103.4,7.65,0.0875,28/02/2048,ZAR
2020-01,Developing,India,IN0020200112,100.2,6.8,0.0522,15/06/2025,INR
2020-02,Developing,India,IN0020200112,100.05,6.85,0.0522,15/06/2025,INR
2020-03,Developing,India,IN0020200112,99.1,7.25,0.0522,15/06/2025,INR
2020-04,Developing,India,IN0020200112,99.65,7.05,0.0522,15/06/2025,INR
2020-05,Developing,India,IN0020200112,100.05,6.9,0.0522,15/06/2025,INR
2020-06,Developing,India,IN0020200112,100.4,6.75,0.0522,15/06/2025,INR
2020-07,Developing,India,IN0020200112,100.75,6.6,0.0522,15/06/2025,INR
2020-08,Developing,India,IN0020200112,101.1,6.45,0.0522,15/06/2025,INR
2020-09,Developing,India,IN0020200112,101.35,6.35,0.0522,15/06/2025,INR
2020-10,Developing,India,IN0020200112,101.15,6.4,0.0522,15/06/2025,INR
2020-11,Developing,India,IN0020200112,101.55,6.3,0.0522,15/06/2025,INR
2020-12,Developing,India,IN0020200112,101.9,6.2,0.0522,15/06/2025,INR
2021-01,Developing,India,IN0020200112,102.1,6.15,0.0522,15/06/2025,INR
2021-02,Developing,India,IN0020200112,101.85,6.2,0.0522,15/06/2025,INR
2021-03,Developing,India,IN0020200112,101.6,6.25,0.0522,15/06/2025,INR
2021-04,Developing,India,IN0020200112,101.75,6.22,0.0522,15/06/2025,INR
2021-05,Developing,India,IN0020200112,102.05,6.15,0.0522,15/06/2025,INR
2021-06,Developing,India,IN0020200112,102.4,6.05,0.0522,15/06/2025,INR
2021-07,Developing,India,IN0020200112,102.7,6,0.0522,15/06/2025,INR
2021-08,Developing,India,IN0020200112,102.55,6.05,0.0522,15/06/2025,INR
2021-09,Developing,India,IN0020200112,102.85,5.95,0.0522,15/06/2025,INR
2021-10,Developing,India,IN0020200112,103.1,5.9,0.0522,15/06/2025,INR
2021-11,Developing,India,IN0020200112,102.9,5.95,0.0522,15/06/2025,INR
2021-12,Developing,India,IN0020200112,103.25,5.85,0.0522,15/06/2025,INR
2022-01,Developing,India,IN0020200112,103.1,5.9,0.0522,15/06/2025,INR
2022-02,Developing,India,IN0020200112,102.8,6,0.0522,15/06/2025,INR
2022-03,Developing,India,IN0020200112,102.3,6.15,0.0522,15/06/2025,INR
2022-04,Developing,India,IN0020200112,102.65,6.05,0.0522,15/06/2025,INR
2022-05,Developing,India,IN0020200112,103.05,5.95,0.0522,15/06/2025,INR
2022-06,Developing,India,IN0020200112,103.4,5.85,0.0522,15/06/2025,INR
2022-07,Developing,India,IN0020200112,103.75,5.75,0.0522,15/06/2025,INR
2022-08,Developing,India,IN0020200112,103.55,5.8,0.0522,15/06/2025,INR
